doing
willing
knowing
seeing
getting
thinking
going
making
taking
coming
saying
putting
wanting
giving
looking
finding
needing
liking
setting
using
becoming
telling
keeping
helping
working
letting
feeling
providing
believing
trying
asking
remembering
leaving
showing
paying
running
reading
seeming
including
bringing
understanding
starting
playing
cutting
living
meeting
moving
hearing
calling
stopping
turning
talking
buying
thanking
changing
continuing
considering
allowing
hoping
producing
staying
appearing
writing
holding
expecting
ensuring
supposing
wishing
carrying
following
offering
supporting
accepting
speaking
leading
remaining
standing
suggesting
hitting
developing
happening
sitting
winning
loving
adding
learning
creating
agreeing
applying
waiting
avoiding
sending
forming
explaining
returning
selling
receiving
opening
beginning
eating
increasing
voicing
spending
joining
reducing
saving
requiring
falling
minding
building
achieving
choosing
preventing
reaching
deciding
dealing
facing
enjoying
watching
losing
covering
walking
improving
tending
raising
drawing
forgetting
imagining
acting
picking
causing
costing
passing
breaking
proving
occurring
discussing
listening
maintaining
ending
existing
seeking
growing
checking
serving
sharing
establishing
entering
controlling
dying
encouraging
answering
protecting
identifying
visiting
caring
enabling
affecting
claiming
noting
obtaining
representing
containing
beating
spreading
worrying
bearing
shutting
wondering
affording
fitting
killing
regarding
describing
placing
driving
wearing
arguing
involving
lying
contacting
catching
assuming
indicating
operating
managing
coping
removing
determining
fighting
pulling
realising
reflecting
filling
referring
gaining
examining
preferring
travelling
admitting
recognising
attending
hurting
responding
sleeping
introducing
depending
surviving
suffering
noticing
closing
resulting
replacing
completing
missing
rising
presenting
arising
pointing
failing
promoting
performing
discovering
expressing
extending
drinking
mentioning
varying
concentrating
benefiting
treating
hanging
throwing
preparing
dropping
studying
pushing
pressing
reporting
casting
arriving
sounding
finishing
ringing
testing
securing
collecting
escaping
teaching
lasting
welcoming
relying
trusting
matching
assessing
contributing
repeating
supplying
planning
revealing
stating
confirming
appreciating
hating
relating
overcoming
ridding
marrying
attempting
retaining
handling
attracting
assisting
influencing
marking
splitting
experiencing
recalling
adopting
signing
touching
fearing
sticking
settling
ignoring
comparing
defining
exercising
demonstrating
accounting
persuading
investigating
clearing
guessing
recording
voting
exploring
blaming
arranging
crossing
denying
realizing
hiding
focusing
delivering
proceeding
bothering
succeeding
refusing
forcing
demanding
recognizing
counting
doubting
reckoning
belonging
emerging
singing
intending
justifying
inning
advising
defending
laughing
daring
acquiring
recovering
distinguishing
generating
suspecting
earning
financing
betting
destroying
resting
judging
pursuing
commenting
satisfying
competing
resisting
addressing
suiting
solving
lifting
altering
imposing
displaying
appealing
releasing
sorting
differing
selecting
measuring
recommending
ordering
transferring
attacking
expanding
rolling
bursting
undertaking
relaxing
participating
behaving
striking
reminding
reviewing
approaching
employing
restoring
washing
observing
combining
insisting
issuing
riding
constituting
jumping
cooking
switching
training
crying
cleaning
investing
stepping
illustrating
limiting
owning
tackling
challenging
viewing
withdrawing
possessing
communicating
climbing
gathering
separating
preserving
implementing
shifting
resolving
rejecting
informing
implying
acknowledging
concluding
shooting
guaranteeing
borrowing
complying
questioning
promising
enhancing
monitoring
risking
permitting
purchasing
proposing
celebrating
charging
researching
accommodating
aiming
phoning
wasting
dancing
waking
praying
disappearing
telephoning
predicting
scoring
slipping
committing
complaining
detecting
excluding
excusing
interpreting
publishing
linking
forgiving
negotiating
analysing
naming
stretching
upsetting
qualifying
damaging
launching
painting
specifying
granting
constructing
lending
organising
reacting
deserving
heading
directing
landing
conducting
sustaining
submitting
consisting
blowing
mixing
guiding
owing
convincing
practising
strengthening
knocking
inviting
abandoning
burning
replying
shaking
fixing
pretending
consulting
dividing
engaging
searching
fulfilling
exploiting
ruling
